Number,Full date,Day,Month,Year,Country name,Country code,Latitude,Longitude,Purpose of gathering,Fatalities,Injured,Crowd size,Description,References
142,"October 10, 2004",10,10,2004,Guinea,GIN,9.545770802,-13.67300421,Sport,3,-1,35000,"Three people were killed in a crush outside a soccer stadium ahead of a World Cup qualifying match. The incident occurred as fans rushed to buy tickets and surged while waiting to enter the 35,000-seat stadium through its four entrances. The victims were trampled, and all injured individuals were taken to the hospital.",20041010_1.txt
143,"October 10, 2004",10,10,2004,Togo,TGO,6.202153075,1.239729531,Sport,4,8,-1,"At the end of a soccer game lights went off due to a power outage causing fan to run for the exits. Another 8 people were injured, 3 critically. The stadium was recently built.",20041010_2.txt
144,"November 13, 2004",13,11,2004,India,IND,28.64282557,77.2191645,Transportation,5,10,-1,Passengers rushing to catch a leaving train struggled on stairs during one of the biggest holiday of the year. It is believed two women slipped on the stairs triggering the accident.,20041113.txt
145,"November 20, 2004",20,11,2004,Togo,TGO,6.120990168,1.211730786,Political,13,216,200000,"People got killed at the gates as they tried to surge into the president's palace when the gates were thrown open. That day a political march was organized, with the number of participants (hundreds of thousand) underestimated. Some reports suggest people were hoping for banknotes handout from the president. ",20041120.txt
146,"January 25, 2005",25,1,2005,India,IND,18.0465596,73.87597011,Religious,291,-1,300000,"A pilgrim at a religious festival attracting more than 300,000 people fell on the steep and narrow stairs to the temple, which had become slippery with palm juice used in the offerings, and caused a crowd incident. Subsequently, an electric wire short-circuited at a nearby store, causing a fire that spread to cooking gas cylinders, which then exploded. ",20050125.txt
147,"February 26, 2005",26,2,2005,Burkina Faso,BFA,12.369028,-1.5535,Entertainment,2,15,4000,An accident occurred on the more shaded area as stadium gates for a film festival were opened in a scorching day. That day also featured a concert by a well known singer. Between 10 and 20 people were injured.,20050226.txt
148,"March 6, 2005",6,3,2005,Madagascar,MDG,-18.9194219,47.52584693,Sport,2,45,20000,"Two children died and 45 others were injured in a accident at a soccer match. The accident occurred when hundreds of fans tried to force their way into the 20,000-seat stadium after officials attempted to close the gates. The match continued despite the chaos.",20050306.txt
149,"March 25, 2005",25,3,2005,Iran,IRN,35.724442,51.27555,Sport,5,40,100000,"An accident occurred after the game when 100,000 spectators moved to the exits. About 40 others were hurt, 5 of them in critical condition. No reason was given for the rush to the doors.",20050325.txt
150,"April 6, 2005",6,4,2005,Bangladesh,BGD,23.18746737,89.80154782,Religious,7,100,-1,An accident occurred during a bathing religious festival. It is believed some people slipped while walking on the path connecting two holy pools where pilgrims were dipping. Dozens were injured.,20050406.txt
151,"June 18, 2005",18,6,2005,Kenya,KEN,-1.304115965,36.82466013,Entertainment,1,-1,50000,A teenager was trampled upon by fans who were finding their way into a stadium to watch Kenya play Morocco in a World Cup qualifier.,20050618.txt
